37.4168859432821,-1.23881193445419,1529,32142,Machakos,"Mwala Sub County","Mbiuni Ward",mTYNhOlvCK8,fYYivceocJ2,yhCUgGcCcOo
37.4722946640489,-1.34849592711376,1530,32127,Machakos,"Mwala Sub County","Makutano-Mwala Ward",LFDB6rHVYOg,fYYivceocJ2,yhCUgGcCcOo
37.4291863701054,-1.45862389715242,1531,32367,Machakos,"Mwala Sub County","Masii Ward",aN66G7fGx3m,fYYivceocJ2,yhCUgGcCcOo
37.5317718476678,-1.50082266640254,1532,22805,Machakos,"Mwala Sub County","Muthetheni Ward",p3N8fKKiVHr,fYYivceocJ2,yhCUgGcCcOo
37.5816278032809,-1.41444778948465,1533,25664,Machakos,"Mwala Sub County","Wamunyu Ward",TlP41wTPt6a,fYYivceocJ2,yhCUgGcCcOo
37.6711276388953,-1.54544868831855,1534,17927,Machakos,"Mwala Sub County","Kibauni Ward",vzUXLmjcQsv,fYYivceocJ2,yhCUgGcCcOo
34.6710307267554,-0.546013227369525,1535,25807,"Homa Bay","Kasipul Sub County","West Kasipul Ward",tn1vEO9VD83,NhsAMiaS0TD,nK0A12Q7MvS
34.7215806933991,-0.525024595452501,1536,25691,"Homa Bay","Kasipul Sub County","South Kasipul Ward",xiP5RKdvPTn,NhsAMiaS0TD,nK0A12Q7MvS
34.7064596533204,-0.454344273635536,1537,26016,"Homa Bay","Kasipul Sub County","Central Kasipul Ward",UQYZGlkULva,NhsAMiaS0TD,nK0A12Q7MvS
34.770585334724,-0.475725622445316,1538,14588,"Homa Bay","Kasipul Sub County","East Kamagak Ward",RvsMMMCame7,NhsAMiaS0TD,nK0A12Q7MvS
34.7421381168878,-0.502952851641471,1539,21015,"Homa Bay","Kasipul Sub County","West Kamagak Ward",pPN9DI12g5m,NhsAMiaS0TD,nK0A12Q7MvS
34.9423451681192,-0.427068521941878,1540,31962,"Homa Bay","Kabondo Kasipul Sub County","Kabondo East Ward",nYfCFgklbTM,BzFBYZhF5fx,nK0A12Q7MvS
34.8613358778345,-0.429081859922335,1541,31131,"Homa Bay","Kabondo Kasipul Sub County","Kabondo West Ward",zkOTNmaTloy,BzFBYZhF5fx,nK0A12Q7MvS
34.8008573724667,-0.45122915119563,1542,26532,"Homa Bay","Kabondo Kasipul Sub County","Kokwanyo/Kakelo Ward",dPxooReTfTv,BzFBYZhF5fx,nK0A12Q7MvS
34.844659957158,-0.489948940242921,1543,17924,"Homa Bay","Kabondo Kasipul Sub County","Kojwach Ward",FdJzxSJbjk3,BzFBYZhF5fx,nK0A12Q7MvS
34.4902222057831,-0.4008794713909,1544,26069,"Homa Bay","Karachuonyo Sub County","West Karachuonyo Ward",DbwgMpyBfwd,fmsyW02tPng,nK0A12Q7MvS
34.542860970562,-0.363958282855079,1545,23614,"Homa Bay","Karachuonyo Sub County","North Karachuonyo Ward",bR7hQLC29rl,fmsyW02tPng,nK0A12Q7MvS
34.6100500612438,-0.382543825081668,1546,20475,"Homa Bay","Karachuonyo Sub County","Central Ward",TzCE8I4W14b,fmsyW02tPng,nK0A12Q7MvS
34.6254902012007,-0.446442253129004,1547,18684,"Homa Bay","Karachuonyo Sub County","Kanyaluo Ward",LX2KPfCBef4,fmsyW02tPng,nK0A12Q7MvS
34.6029242635055,-0.515749822953943,1553,30553,"Homa Bay","Rangwe Sub County","Kagan Ward",V6fgSDAq913,iK2Jk2AxhlD,nK0A12Q7MvS
34.5388718189812,-0.516151295978017,1554,26554,"Homa Bay","Rangwe Sub County","Kochia Ward",ODrYkIYLlui,iK2Jk2AxhlD,nK0A12Q7MvS
34.4867623605325,-0.595675263815754,1555,30575,"Homa Bay","Homa Bay Town Sub County","Homa Bay Central Ward",zOOEW5td56i,Ur2xRBDtazT,nK0A12Q7MvS
34.4629810312797,-0.588654128826307,1556,24310,"Homa Bay","Homa Bay Town Sub County","Homa Bay Arujo Ward",OOiImc9uz5A,Ur2xRBDtazT,nK0A12Q7MvS
34.5181539565997,-0.590920758704324,1558,27591,"Homa Bay","Homa Bay Town Sub County","Homa Bay East Ward",C5EivIShRVo,Ur2xRBDtazT,nK0A12Q7MvS
34.2727505588163,-0.771726837439885,1559,31596,"Homa Bay","Ndhiwa Sub County","Kwabwai Ward",Fsxrjp3QlVa,i2Y2fyNoFyZ,nK0A12Q7MvS
34.3421299440357,-0.790341869574035,1560,16331,"Homa Bay","Ndhiwa Sub County","Kanyadoto Ward",MAZrrKvz7hU,i2Y2fyNoFyZ,nK0A12Q7MvS
34.3772854437687,-0.792979489737349,1561,6283,"Homa Bay","Ndhiwa Sub County","Kanyikela Ward",JY7Gu5x4aGH,i2Y2fyNoFyZ,nK0A12Q7MvS
34.4815477949438,-0.714449373699211,1562,35270,"Homa Bay","Ndhiwa Sub County","Kabouch North Ward",MLB4Nr73Nsh,i2Y2fyNoFyZ,nK0A12Q7MvS
34.4496489632699,-0.799955100031973,1563,26332,"Homa Bay","Ndhiwa Sub County","Kabuoch South/Pala Ward",eScf0oeCcVI,i2Y2fyNoFyZ,nK0A12Q7MvS
34.3538865721884,-0.700556250310172,1565,32958,"Homa Bay","Ndhiwa Sub County","Kanyamwa Kosewe Ward",ccNnEThhT6C,i2Y2fyNoFyZ,nK0A12Q7MvS
34.0154755578508,-0.464198636973986,1566,26120,"Homa Bay","Mbita Sub County","Mfangano Island Ward",SyS2T2z6JDZ,mCGytMcMf6y,nK0A12Q7MvS
34.174646073693,-0.404221224924566,1567,24275,"Homa Bay","Mbita Sub County","Rusinga Island Ward",OjYMSbDEKRc,mCGytMcMf6y,nK0A12Q7MvS
34.228731407599,-0.470918018688807,1568,19653,"Homa Bay","Mbita Sub County","Kasgunga Ward",eX9fqY9KVU8,mCGytMcMf6y,nK0A12Q7MvS
34.7146324135687,0.110590874299272,1579,18452,Vihiga,"Sabatia Sub County","Chavakali Ward",NHcPsj2IMSr,urtJSF5jcBC,sANMZ3lpqGs
34.7977491925886,0.139129787989499,1582,23693,Vihiga,"Sabatia Sub County","Busali Ward",cUBWuuQYISs,urtJSF5jcBC,sANMZ3lpqGs
34.8800122188491,0.164729647634801,1583,22334,Vihiga,"Hamisi Sub County","Shiru Ward",iphxMgFUJmE,BXaq5PxSfz2,sANMZ3lpqGs
34.7685619747061,0.05463050210468,1584,21452,Vihiga,"Hamisi Sub County","Gisambai Ward",d7jBlFuDPt7,BXaq5PxSfz2,sANMZ3lpqGs
34.8355478244248,0.156576878798269,1585,16659,Vihiga,"Hamisi Sub County","Muhudu Ward",tDKdg7EyyCj,BXaq5PxSfz2,sANMZ3lpqGs
34.7789703870335,0.01921324377566,1586,18689,Vihiga,"Hamisi Sub County","Tambua Ward",pyG6e1Uq18m,BXaq5PxSfz2,sANMZ3lpqGs
34.7377414474841,0.020255654921076,1587,19055,Vihiga,"Hamisi Sub County","Jepkoyai Ward",USg05TR1JwK,BXaq5PxSfz2,sANMZ3lpqGs
34.569435883303,-0.01334110723831,1591,19994,Vihiga,"Luanda Sub County","Luanda South Ward",P35Hsu3jEza,lkYdgjRSOoE,sANMZ3lpqGs
34.6526564539578,0.09800868963709,1593,29991,Vihiga,"Emuhaya Sub County","North East Bunyore Ward",AgnY1dRfILu,Lpy789vqRC6,sANMZ3lpqGs
34.8220037625268,0.057550079739539,1596,22535,Vihiga,"Hamisi Sub County","Banja Ward",r6KB3hMzaXh,BXaq5PxSfz2,sANMZ3lpqGs
34.6911567440713,0.001894854683941,1597,19293,Vihiga,"Vihiga Sub County","South Maragoli Ward",hTylTMl1aid,OOF3UX4yOt7,sANMZ3lpqGs
34.8336584470061,0.097599545333143,1598,27535,Vihiga,"Hamisi Sub County","Shamakhokho Ward",hXKwpKcEej9,BXaq5PxSfz2,sANMZ3lpqGs
34.4476778836376,0.832666601954326,1600,28788,Bungoma,"Cheptais Sub County","Cheptais Ward",iKvnghqTvSP,NZphHeczehh,KGHhQ5GLd4k
34.5930819296138,0.81106242849367,1603,28668,Bungoma,"Cheptais Sub County","Kakateny Ward",WIQaiUzKu6p,NZphHeczehh,KGHhQ5GLd4k
34.6085744467679,0.96267517961676,1604,33555,Bungoma,"Mt Elgon Sub County","Kaptama Ward",X2TaEHQHj6z,ZCYATXdLsL1,KGHhQ5GLd4k
34.4857141239293,0.723757475084645,1607,35067,Bungoma,"Sirisia Sub County","Malakisi/South Kulisiru Ward",ftbk97ko25V,whWfFA9D7td,KGHhQ5GLd4k
34.4286177173428,0.756359051277169,1608,39802,Bungoma,"Sirisia Sub County","Lwandanyi Ward",nNiOxPPdyhk,whWfFA9D7td,KGHhQ5GLd4k
34.5773179799926,0.629510925837461,1610,33130,Bungoma,"Kabuchai Sub County","West Nalondo Ward",gZqLcfKb6LQ,k1mze33jOs0,KGHhQ5GLd4k
34.6206466474124,0.758926521374221,1612,37988,Bungoma,"Kabuchai Sub County","Mukuyuni Ward",IVA8tzQOkNT,k1mze33jOs0,KGHhQ5GLd4k
34.5244207395813,0.480507497334237,1616,20756,Bungoma,"Bumula Sub County","Kabula Ward",sIW2S02bdN0,jkQZEow83MX,KGHhQ5GLd4k
34.4052711203976,0.603413542388836,1617,36539,Bungoma,"Bumula Sub County","Kimaeti Ward",bMDzJFxR86n,jkQZEow83MX,KGHhQ5GLd4k
34.4661974611621,0.648979109070995,1619,32507,Bungoma,"Bumula Sub County","Siboti Ward",iKmwecDBqgX,jkQZEow83MX,KGHhQ5GLd4k
34.6071478149067,0.577794617739692,1620,20311,Bungoma,"Kanduyi Sub County","Bukembe West Ward",r6SlF5OJDxM,CUjthlounWV,KGHhQ5GLd4k
34.6610452616143,0.579612355697545,1621,26749,Bungoma,"Kanduyi Sub County","Bukembe East Ward",gsSTglpX3Wd,CUjthlounWV,KGHhQ5GLd4k
34.6761544726329,0.675853393753852,1634,32891,Bungoma,"Webuye West Sub County","Bokoli Ward",rAJO40KF2F6,aqYhbqKclsI,KGHhQ5GLd4k
34.679910080506,0.775938504914383,1635,34458,Bungoma,"Kimilili Sub County","Kibingei Ward",pxOm9J6SORx,AphsS3lJwKU,KGHhQ5GLd4k
34.7293721099763,0.751132650232694,1636,36267,Bungoma,"Kimilili Sub County","Kimilili Ward",E9RhI4J0cKC,AphsS3lJwKU,KGHhQ5GLd4k
34.7481320236544,0.803100978845549,1637,24209,Bungoma,"Kimilili Sub County","Maeni Ward",ZZrtQfVb4kP,AphsS3lJwKU,KGHhQ5GLd4k
34.7884026104945,0.80135286969542,1638,37888,Bungoma,"Kimilili Sub County","Kamukuywa Ward",krBcnnShWw6,AphsS3lJwKU,KGHhQ5GLd4k
34.8583212962311,0.708229161390086,1639,32229,Bungoma,"Tongaren Sub County","Mbakalo Ward",dqhHnPkEqDH,orUwYD52An3,KGHhQ5GLd4k
34.9036402016903,0.764675957365925,1640,38023,Bungoma,"Tongaren Sub County","Naitiri/Kabuyefwe Ward",AwkuNWBAvnV,orUwYD52An3,KGHhQ5GLd4k
34.8455753491214,0.774422188786779,1641,33352,Bungoma,"Tongaren Sub County","Milima Ward",ky9RthnIKqS,orUwYD52An3,KGHhQ5GLd4k
34.9778541933234,0.849271723757926,1642,21148,Bungoma,"Tongaren Sub County","Ndalu/ Tabani Ward",ZoZCpnAFcGo,orUwYD52An3,KGHhQ5GLd4k
34.9606688068245,0.792548034194494,1643,33907,Bungoma,"Tongaren Sub County","Tongaren Ward",Epj7vWxFyG0,orUwYD52An3,KGHhQ5GLd4k
35.0275243761935,0.7809173021566,1644,28819,Bungoma,"Tongaren Sub County","Soysambu/ Mitua Ward",pc8868uNy8r,orUwYD52An3,KGHhQ5GLd4k
35.0047662169367,0.71914061368518,1645,25082,Kakamega,"Lugari Sub County","Mautuma Ward",ceveVgwvcc7,ZOdhgR19Akq,BjC1xL40gHo
34.9260580740049,0.675867075999618,1646,31381,Kakamega,"Lugari Sub County","Lugari Ward",QDeZMYaTxpd,ZOdhgR19Akq,BjC1xL40gHo
34.9906064900951,0.644315786426139,1647,29955,Kakamega,"Lugari Sub County","Lumakanda Ward",F2TBdrJClsv,ZOdhgR19Akq,BjC1xL40gHo
34.9046815159933,0.623392234924995,1648,19705,Kakamega,"Lugari Sub County","Chekalini Ward",WU8NRoTwaDK,ZOdhgR19Akq,BjC1xL40gHo
34.7600191957245,0.527541209007189,1649,33145,Kakamega,"Lugari Sub County","Chevaywa Ward",T7ArssRHW3p,ZOdhgR19Akq,BjC1xL40gHo
34.8457947033118,0.60635897608637,1650,27746,Kakamega,"Lugari Sub County","Lwandeti Ward",nbaDAo4y7cH,ZOdhgR19Akq,BjC1xL40gHo
35.1055652686313,0.679564797924669,1651,27243,Kakamega,"Likuyani Sub County","Likuyani Ward",tzPsC2kiU56,wMv0s3U2nnG,BjC1xL40gHo
35.0768749543548,0.733862843706197,1652,22853,Kakamega,"Likuyani Sub County","Sango Ward",A7zboeNsKAz,wMv0s3U2nnG,BjC1xL40gHo
35.1264555183082,0.774279775123729,1653,23701,Kakamega,"Likuyani Sub County","Kongoni Ward",mluOaVta06m,wMv0s3U2nnG,BjC1xL40gHo
35.0739097748549,0.823530058373066,1654,30321,Kakamega,"Likuyani Sub County","Nzoia Ward",bWhvWmGfQqn,wMv0s3U2nnG,BjC1xL40gHo
35.0662235475554,0.868095313836907,1655,21019,Kakamega,"Likuyani Sub County","Sinoko Ward",clRPOipiZXp,wMv0s3U2nnG,BjC1xL40gHo
34.7555908513087,0.414970009800643,1656,26114,Kakamega,"Malava Sub County","West Kabras Ward",vwGFBoFGIlm,ES1CWa4AJmJ,BjC1xL40gHo
34.8839959907442,0.436744700209749,1657,29745,Kakamega,"Malava Sub County","Chemuche Ward",GCZB9Qc6zCO,ES1CWa4AJmJ,BjC1xL40gHo
34.9028090420622,0.397978779482066,1658,22659,Kakamega,"Malava Sub County","East Kabras Ward",lZT0FbLOn0I,ES1CWa4AJmJ,BjC1xL40gHo
34.8182381479169,0.495407695693378,1659,31876,Kakamega,"Malava Sub County","Butali Chegulo Ward",WlgJjiJVyHY,ES1CWa4AJmJ,BjC1xL40gHo
34.8611050630793,0.532157327798232,1660,32194,Kakamega,"Malava Sub County","Manda-Shivanga Ward",oQbUJJHfsbX,ES1CWa4AJmJ,BjC1xL40gHo
34.7896126423699,0.457280943813104,1661,25055,Kakamega,"Malava Sub County","Shirungu-Mugai Ward",pCenQt4VPGz,ES1CWa4AJmJ,BjC1xL40gHo
34.8085371411,0.374555592144386,1662,37523,Kakamega,"Malava Sub County","South Kabras Ward",klgKsqqI93s,ES1CWa4AJmJ,BjC1xL40gHo
34.7459218086571,0.32299273064879,1663,23227,Kakamega,"Lurambi Sub County","Butsotso East Ward",dFH6aZXT2rd,Y3NjAhiBaZT,BjC1xL40gHo
34.6254048756592,0.232845541341115,1664,17377,Kakamega,"Lurambi Sub County","Butsotso South Ward",t8eg6hgrHEp,Y3NjAhiBaZT,BjC1xL40gHo
34.6739086531989,0.275892933119333,1665,25744,Kakamega,"Lurambi Sub County","Butsotso Central Ward",IgadIOg14CX,Y3NjAhiBaZT,BjC1xL40gHo
34.7515529273757,0.298399993993678,1666,48304,Kakamega,"Lurambi Sub County","Sheywe Ward",QVwBQhJwtOG,Y3NjAhiBaZT,BjC1xL40gHo
34.7769887026067,0.294467664155758,1667,12067,Kakamega,"Lurambi Sub County","Mahiakalo Ward",OikFajghArn,Y3NjAhiBaZT,BjC1xL40gHo
34.7434956316474,0.263304115124844,1668,33510,Kakamega,"Lurambi Sub County","Shirere Ward",yKF1kdNdLqM,Y3NjAhiBaZT,BjC1xL40gHo
34.7317624879786,0.357569246369889,1669,22091,Kakamega,"Navakholo Sub County","Ingoste-Matiha Ward",px3RqXi1FU6,G6PJ5kFVAuO,BjC1xL40gHo
