X,Y,gid,pop2009,county,subcounty,ward,uid,scuid,cuid
37.0361373536759,-1.25926145199315,2041.0,35961.000000000000000,Nairobi,Kasarani  Sub County,Ruai Ward,wskDg8KQ0v3,FoqzDgIByL6,jkG3zaihdSs
36.8795853632644,-1.24386114295125,2042.0,40036.000000000000000,Nairobi,Ruaraka  Sub County,Babandogo,OObzseEJrMs,Cc8uEFkzfVf,jkG3zaihdSs
36.8636792704098,-1.25368646627759,2043.0,36275.000000000000000,Nairobi,Ruaraka  Sub County,Utalii Ward,r1YlC9GTC4S,Cc8uEFkzfVf,jkG3zaihdSs
36.8890433526054,-1.32246869312632,2048.0,24359.000000000000000,Nairobi,Embakasi South Sub County,Kwa Njenga Ward,XnWPNKPDxxo,aDp1odOWYC1,jkG3zaihdSs
36.9061856065687,-1.24190751620945,2056.0,45567.000000000000000,Nairobi,Embakasi North Sub County,Dandora Area Iv Ward,rj9COmxBpVr,SSz1iOv28Jk,jkG3zaihdSs
36.8820407160674,-1.31520041462736,2049.0,26015.000000000000000,Nairobi,Embakasi South Sub County,Kwa Reuben Ward,HvcGWkiIxjp,aDp1odOWYC1,jkG3zaihdSs
36.8904778852125,-1.2795562974902,2067.0,47811.000000000000000,Nairobi,Embakasi West Sub County,Umoja I Ward,Zmv9YmuisYs,aCwUX5V42Zz,jkG3zaihdSs
36.8886299599533,-1.31628210831292,2051.0,23829.000000000000000,Nairobi,Embakasi South Sub County,Kware Ward,A1sIHVzJM77,aDp1odOWYC1,jkG3zaihdSs
36.8821179415527,-1.25531304508776,2052.0,39342.000000000000000,Nairobi,Embakasi North Sub County,Kariobangi North Ward,YMBLUc2euxC,SSz1iOv28Jk,jkG3zaihdSs
36.8894623663779,-1.25749569919684,2053.0,22802.000000000000000,Nairobi,Embakasi North Sub County,Dandora Area I Ward,Qusks6YHAmd,SSz1iOv28Jk,jkG3zaihdSs
36.898297064168,-1.25117053399017,2054.0,33675.000000000000000,Nairobi,Embakasi North Sub County,Dandora Area Ii Ward,KhxCmDKgYMT,SSz1iOv28Jk,jkG3zaihdSs
36.9104014230987,-1.24514767291295,2055.0,40002.000000000000000,Nairobi,Embakasi North Sub County,Dandora Area Iii Ward,UrLRfZeC3Oq,SSz1iOv28Jk,jkG3zaihdSs
36.9217129891659,-1.26516716909553,2057.0,39292.000000000000000,Nairobi,Embakasi Central Sub County,Kayole North Ward,ETN4UDiD5y5,XvpLXU47BKs,jkG3zaihdSs
36.9174275712876,-1.27164875225681,2058.0,50712.000000000000000,Nairobi,Embakasi Central Sub County,Kayole Central Ward,BMzkWPbVOCH,XvpLXU47BKs,jkG3zaihdSs
36.8928987055941,-1.28601783761735,2068.0,53666.000000000000000,Nairobi,Embakasi West Sub County,Umoja Ii Ward,ivNrlSMRNra,aCwUX5V42Zz,jkG3zaihdSs
36.9139878212366,-1.27783537130353,2059.0,50317.000000000000000,Nairobi,Embakasi Central Sub County,Kayole South Ward,UJlaR99kRxm,XvpLXU47BKs,jkG3zaihdSs
36.8509425347034,-1.29708807573292,2074.0,31022.000000000000000,Nairobi,Makadara  Sub County,Makongeni Ward,ov2muONmDh8,wwROy3Qkwin,jkG3zaihdSs
36.9085790562975,-1.26920117767256,2060.0,35628.000000000000000,Nairobi,Embakasi Central Sub County,Komarock Ward,I6S3XcUsF34,XvpLXU47BKs,jkG3zaihdSs
36.9283968321263,-1.26126226473522,2061.0,14930.000000000000000,Nairobi,Embakasi Central Sub County,Matopeni/spring Valley Ward,xhXsdnqx3eX,XvpLXU47BKs,jkG3zaihdSs
36.847778523348,-1.27308151683722,2076.0,43258.000000000000000,Nairobi,Kamukunji  Sub County,Eastleigh North Ward,i1zR9ESXM9L,qoLIT7y5f5c,jkG3zaihdSs
36.9110042384126,-1.28508622345971,2062.0,45137.000000000000000,Nairobi,Embakasi East Sub County,Upper Savanna Ward,OaqOHmb6jNs,gD4xxgDGJ4Y,jkG3zaihdSs
36.8969276237673,-1.26609605727942,2069.0,22953.000000000000000,Nairobi,Embakasi West Sub County,Mowlem Ward,ujYuDykrrXi,aCwUX5V42Zz,jkG3zaihdSs
36.8869241048054,-1.26499004148648,2070.0,33036.000000000000000,Nairobi,Embakasi West Sub County,Kariobangi South Ward,WJ020FJI9yB,aCwUX5V42Zz,jkG3zaihdSs
36.8656917352229,-1.29210358718137,2071.0,52293.000000000000000,Nairobi,Makadara  Sub County,Maringo/hamza Ward,Ao5e4mVaq7w,wwROy3Qkwin,jkG3zaihdSs
34.9055423160102,0.914923418919149,693.0,38731.000000000000000,TRANS NZOIA,Kiminini  Sub County,Nabiswa Ward,X1eiwwCQwbI,pzZHpL2ueIn,mThvosEflAU
